samples,min_raw,median_price,q1_price,avg_price,max_price,fraction_low,low_threshold,low_count,normal_min,decision,cutoff,articulum
59,10.0,36500.0,8775.0,39430.372881355936,141358.0,0.3898305084745763,14600.0,23,10.0,stable_low_market,,0AM198140
55,50.0,5490.0,1700.0,9175.981818181817,29000.0,0.36363636363636365,2196.0,20,50.0,stable_low_market,,S671090255
41,99.0,34000.0,8686.0,112465.24390243902,831600.0,0.3170731707317073,13600.0,13,99.0,stable_low_market,,4M0698151BL
53,100.0,10368.0,3325.0,522263.320754717,13900000.0,0.2830188679245283,4147.2,15,100.0,stable_low_market,,9GTRONIC
219,100.0,11000.0,4025.0,51979.6803652968,1245000.0,0.2831050228310502,4400.0,62,100.0,stable_low_market,,N63B44TU
276,100.0,4036.5,1318.0,93598.38043478261,9000000.0,0.3115942028985507,1614.6000000000001,86,100.0,stable_low_market,,BMW7-G11
51,200.0,10000.0,2414.5,13831.56862745098,69300.0,0.43137254901960786,4000.0,22,200.0,stable_low_market,,03L131512BB
60,200.0,6455.0,2458.25,6603.216666666666,17160.0,0.2833333333333333,2582.0,17,200.0,stable_low_market,,06K103319A
66,247.0,6583.0,1589.0,9065.363636363636,60671.0,0.3787878787878788,2633.2000000000003,25,247.0,stable_low_market,,A2721800510
88,299.0,6945.0,1342.5,9615.488636363636,160000.0,0.3181818181818182,2778.0,28,299.0,stable_low_market,,058109088K
74,300.0,5999.5,1997.5,7848.959459459459,95000.0,0.32432432432432434,2399.8,24,300.0,stable_low_market,,7P0827505G
24,300.0,28409.5,10996.25,22275.958333333332,43616.0,0.25,11363.800000000001,6,300.0,stable_low_market,,LR029682
52,300.0,2989.0,742.0,3879.5384615384614,9839.0,0.28846153846153844,1195.6000000000001,15,300.0,stable_low_market,,03C109507AD
130,300.0,4500.0,1562.5,5755.530769230769,16961.0,0.3,1800.0,39,300.0,stable_low_market,,4M0127434H
132,360.0,8450.0,1450.0,9169.719696969696,35800.0,0.36363636363636365,3380.0,48,360.0,stable_low_market,,54501JN00B
30,400.0,11687.5,1241.75,10149.266666666666,49200.0,0.3333333333333333,4675.0,10,400.0,stable_low_market,,LR017436
26,407.0,6062.5,2412.5,5604.5,13940.0,0.2692307692307692,2425.0,7,407.0,stable_low_market,,LR016683
157,499.0,8075.0,3000.0,9853.273885350318,96715.0,0.267515923566879,3230.0,42,499.0,stable_low_market,,LR008836
109,500.0,5600.0,2200.0,7413.752293577982,27300.0,0.25688073394495414,2240.0,28,500.0,stable_low_market,,036107065ET
192,500.0,4625.0,1787.5,55729.963541666664,2700001.0,0.265625,1850.0,51,500.0,stable_low_market,,LR156918
58,500.0,5570.0,2000.0,5430.896551724138,15469.0,0.3103448275862069,2228.0,18,500.0,stable_low_market,,A2122406317
78,550.0,6029.5,1232.0,6796.679487179487,24854.0,0.3076923076923077,2411.8,24,550.0,stable_low_market,,LR011219
18,570.0,6350.0,1454.25,9560.333333333334,23100.0,0.4444444444444444,2540.0,8,570.0,stable_low_market,,8K0698151R
230,270.0,1195.0,885.0,2228.1565217391303,26250.0,0.1,478.0,23,582.0,filtered_outliers,531.0,7L0505375A
65,400.0,1500.0,680.0,6593.676923076923,28600.0,0.07692307692307693,600.0,5,590.0,filtered_outliers,408.0,A2202770998
61,590.0,4646.0,1270.0,7150.622950819672,19667.0,0.3770491803278688,1858.4,23,590.0,stable_low_market,,A1643300685
112,400.0,1995.0,1000.0,3484.2053571428573,13410.0,0.125,798.0,14,600.0,filtered_outliers,600.0,06E903133AE
49,600.0,28614.0,10600.0,29566.020408163266,65000.0,0.2653061224489796,11445.6,13,600.0,stable_low_market,,A0998100316
31,600.0,8125.0,1854.0,6821.419354838709,13000.0,0.3548387096774194,3250.0,11,600.0,stable_low_market,,3Q0698451
18,639.0,9854.0,2082.0,10369.333333333334,21681.0,0.4444444444444444,3941.6000000000004,8,639.0,stable_low_market,,LR025919
214,100.0,1500.0,1000.0,3036.355140186916,30999.0,0.0794392523364486,600.0,17,680.0,filtered_outliers,600.0,A1663500053
23,680.0,1670.0,680.0,9833.04347826087,40028.0,0.0,668.0,0,680.0,filtered_outliers,417.5,A2032700089
77,500.0,2000.0,1000.0,4266.064935064935,15000.0,0.2077922077922078,800.0,16,680.0,filtered_outliers,600.0,KKB500760
132,680.0,5017.5,2000.0,6167.242424242424,25950.0,0.25757575757575757,2007.0,34,680.0,stable_low_market,,A2782000570
31,700.0,14365.0,8135.0,14061.806451612903,34344.0,0.25806451612903225,5746.0,8,700.0,stable_low_market,,A2720500003
41,700.0,15106.0,4500.0,13410.536585365853,34660.0,0.34146341463414637,6042.400000000001,14,700.0,stable_low_market,,LR016139
73,680.0,2400.0,1155.0,5039.684931506849,17303.0,0.1232876712328767,960.0,9,700.0,filtered_outliers,693.0,A6512002170
46,540.0,1375.0,1000.0,3925.3478260869565,16200.0,0.021739130434782608,550.0,1,700.0,filtered_outliers,600.0,A6512001770
167,480.0,1700.0,1157.0,4216.34131736527,25500.0,0.03592814371257485,680.0,6,700.0,filtered_outliers,694.1999999999999,A1668307201
67,700.0,5775.0,2043.5,5487.074626865671,15730.0,0.29850746268656714,2310.0,20,700.0,stable_low_market,,A1665001091
21,700.0,12000.0,970.0,18908.333333333332,105000.0,0.3333333333333333,4800.0,7,700.0,stable_low_market,,8M0033407
50,720.0,6250.0,2175.0,10532.32,33070.0,0.26,2500.0,13,720.0,stable_low_market,,A0009050401
64,721.0,15000.0,4773.75,28694.515625,95500.0,0.265625,6000.0,17,721.0,stable_low_market,,A1668856625
91,722.0,10440.0,3000.0,14970.758241758242,140300.0,0.2857142857142857,4176.0,26,722.0,stable_low_market,,A2126200191
67,722.0,13202.0,5350.0,11831.044776119403,24500.0,0.2537313432835821,5280.8,17,722.0,stable_low_market,,LR022688
84,450.0,2100.0,1200.0,4195.011904761905,51000.0,0.07142857142857142,840.0,6,750.0,filtered_outliers,720.0,06E903133AC
93,360.0,2720.0,1214.0,3783.3010752688174,15850.0,0.22580645161290322,1088.0,21,754.0,filtered_outliers,728.4,09M325429
209,222.0,2000.0,1260.0,4018.7081339712918,113800.0,0.10526315789473684,800.0,22,760.0,filtered_outliers,756.0,06H103269H
161,760.0,7635.0,2900.0,8146.913043478261,78744.0,0.2857142857142857,3054.0,46,760.0,stable_low_market,,A2732000201
137,500.0,2400.0,1200.0,3195.6204379562046,15714.0,0.11678832116788321,960.0,16,780.0,filtered_outliers,720.0,03C103935
73,800.0,7300.0,2880.0,7526.7945205479455,17575.0,0.2876712328767123,2920.0,21,800.0,stable_low_market,,LR002625
241,800.0,20000.0,3500.0,25115.526970954357,291900.0,0.3360995850622407,8000.0,81,800.0,stable_low_market,,4M0616005
51,800.0,26999.0,3971.0,42849.05882352941,189566.0,0.4117647058823529,10799.6,21,800.0,stable_low_market,,LR052387
46,800.0,30499.5,7250.0,42186.065217391304,367500.0,0.391304347826087,12199.800000000001,18,800.0,stable_low_market,,A4639063601
72,42.0,2000.0,1300.0,7333.277777777777,129900.0,0.1111111111111111,800.0,8,800.0,filtered_outliers,780.0,703500875
40,807.0,9687.5,4191.75,8952.45,19147.0,0.25,3875.0,10,807.0,stable_low_market,,LR029140
153,200.0,2300.0,1280.0,6677.143790849673,49406.0,0.20915032679738563,920.0,32,807.0,filtered_outliers,768.0,A1668851925
128,10.0,2012.5,1337.5,7075.7578125,90000.0,0.140625,805.0,18,810.0,filtered_outliers,802.5,A1668850753
42,835.0,7550.0,2990.0,7254.761904761905,16325.0,0.3333333333333333,3020.0,14,835.0,stable_low_market,,TDR500100
12,855.0,28956.5,19951.5,23865.583333333332,42025.0,0.25,11582.6,3,855.0,stable_low_market,,LR137499
46,525.0,3154.5,1384.5,4456.739130434783,11830.0,0.21739130434782608,1261.8000000000002,10,871.0,filtered_outliers,830.6999999999999,715900326
201,391.0,2430.0,1353.0,4680.28855721393,38272.0,0.13930348258706468,972.0,28,880.0,filtered_outliers,811.8,A1122000970
173,500.0,2000.0,1426.0,3784.0115606936415,26710.0,0.023121387283236993,800.0,4,888.0,filtered_outliers,855.6,3501123XGW02A
187,165.0,2400.0,1349.0,4608.208556149732,27716.0,0.1443850267379679,960.0,27,899.0,filtered_outliers,809.4,A2712001001
47,800.0,3260.0,1500.0,4908.851063829788,15388.0,0.10638297872340426,1304.0,5,900.0,filtered_outliers,900.0,LR033534
53,655.0,2000.0,1500.0,24689.67924528302,235000.0,0.05660377358490566,800.0,3,900.0,filtered_outliers,900.0,06E103472L
94,900.0,7276.0,2900.0,8287.425531914894,53797.0,0.26595744680851063,2910.4,25,900.0,stable_low_market,,03-F121004E
149,499.0,3300.0,1500.0,5732.10067114094,30400.0,0.18120805369127516,1320.0,27,900.0,filtered_outliers,900.0,A6422001970
182,192.0,3000.0,1500.0,5093.56043956044,26250.0,0.17032967032967034,1200.0,31,930.0,filtered_outliers,900.0,A2762000370
40,936.0,5890.0,1522.5,5730.525,14600.0,0.35,2356.0,14,936.0,stable_low_market,,03H109507
170,500.0,2000.0,1422.0,4339.470588235294,100000.0,0.01764705882352941,800.0,3,948.0,filtered_outliers,853.1999999999999,04E906455D
66,950.0,9950.0,1316.25,11149.454545454546,80000.0,0.3181818181818182,3980.0,21,950.0,stable_low_market,,LR108980
200,1.0,2850.0,1425.0,145806.81,7870000.0,0.21,1140.0,42,950.0,filtered_outliers,855.0,5G-TRONIC
72,966.0,9450.0,3900.0,12926.527777777777,40290.0,0.25,3780.0,18,966.0,stable_low_market,,80A945070
81,700.0,3000.0,1600.0,5472.037037037037,23050.0,0.13580246913580246,1200.0,11,990.0,filtered_outliers,960.0,A1648690421
29,999.0,39200.0,2500.0,40072.58620689655,105132.0,0.3448275862068966,15680.0,10,999.0,stable_low_market,,LR057662
48,999.0,3642.5,1496.0,4917.0,15269.0,0.16666666666666666,1457.0,8,999.0,filtered_outliers,910.625,A0004200205
147,720.0,2700.0,1640.0,4013.4353741496598,24614.0,0.06802721088435375,1080.0,10,1000.0,filtered_outliers,984.0,8K0615601M
124,475.0,2580.0,1665.0,5211.185483870968,46000.0,0.06451612903225806,1032.0,8,1000.0,filtered_outliers,999.0,A2309810127
84,680.0,2825.0,1500.0,5041.476190476191,17537.0,0.03571428571428571,1130.0,3,1000.0,filtered_outliers,900.0,A2741880101
160,600.0,3460.0,1615.0,6450.3875,198900.0,0.20625,1384.0,33,1000.0,filtered_outliers,969.0,7P0498287
184,500.0,3550.0,1500.0,5572.157608695652,32500.0,0.1793478260869565,1420.0,33,1000.0,filtered_outliers,900.0,A6422002315
120,521.0,3895.0,1637.5,5293.3,24680.0,0.24166666666666667,1558.0,29,1000.0,filtered_outliers,982.5,LR003651
96,400.0,2251.0,1500.0,3494.8229166666665,14780.0,0.125,900.4000000000001,12,1050.0,filtered_outliers,900.0,06E121111AL
87,450.0,2700.0,1685.0,4291.6551724137935,13900.0,0.1839080459770115,1080.0,16,1080.0,filtered_outliers,1011.0,03C121008J
193,600.0,3100.0,1800.0,6716.466321243523,370500.0,0.11917098445595854,1240.0,23,1080.0,filtered_outliers,1080.0,A2701410025
238,511.0,3749.5,1700.0,17391.352941176472,160650.0,0.23109243697478993,1499.8000000000002,55,1097.0,filtered_outliers,1020.0,N43B20AA
132,440.0,3500.0,1803.75,8703.19696969697,170000.0,0.16666666666666666,1400.0,22,1100.0,filtered_outliers,1082.25,A1668840190
131,722.0,2590.0,1800.0,12312.732824427481,355300.0,0.030534351145038167,1036.0,4,1100.0,filtered_outliers,1080.0,S671090312
212,499.0,2500.0,1800.0,3386.2122641509436,17950.0,0.1509433962264151,1000.0,32,1100.0,filtered_outliers,1080.0,22204-31020
89,500.0,3000.0,1890.0,4764.337078651685,15490.0,0.0449438202247191,1200.0,4,1185.0,filtered_outliers,1134.0,06E121111G
57,680.0,2500.0,1900.0,15583.017543859649,400000.0,0.08771929824561403,1000.0,5,1200.0,filtered_outliers,1140.0,A6510900005
187,700.0,2500.0,1800.0,4153.497326203208,40000.0,0.0374331550802139,1000.0,7,1200.0,filtered_outliers,1080.0,A0009056503
120,500.0,4000.0,2000.0,6184.191666666667,30600.0,0.10833333333333334,1600.0,13,1200.0,filtered_outliers,1200.0,7L0919679
210,500.0,3000.0,2000.0,4485.323809523809,24396.0,0.02857142857142857,1200.0,6,1200.0,filtered_outliers,1200.0,A2722000031
94,500.0,4600.0,1991.75,7827.5,51300.0,0.23404255319148937,1840.0,22,1200.0,filtered_outliers,1195.05,A2710901929
86,680.0,3000.0,1981.75,6092.895348837209,32400.0,0.06976744186046512,1200.0,6,1200.0,filtered_outliers,1189.05,A1663260365
173,400.0,3000.0,1958.0,3797.2196531791906,13848.0,0.13872832369942195,1200.0,24,1209.0,filtered_outliers,1174.8,03C121008H
62,599.0,4548.5,1914.0,5164.0161290322585,15825.0,0.24193548387096775,1819.4,15,1220.0,filtered_outliers,1148.3999999999999,A4603330314
92,706.0,3550.0,1987.5,5764.923913043478,29838.0,0.07608695652173914,1420.0,7,1232.0,filtered_outliers,1192.5,LR002916
81,280.0,3000.0,1900.0,10631.41975308642,350000.0,0.13580246913580246,1200.0,11,1275.0,filtered_outliers,1140.0,06E115405K
121,500.0,4170.0,2090.0,5634.760330578512,39999.0,0.09090909090909091,1668.0,11,1280.0,filtered_outliers,1254.0,4M0407689C
138,955.0,2335.0,1694.0,4126.652173913043,23802.0,0.0,934.0,0,1300.0,filtered_outliers,1016.4,A1669060002
221,500.0,3000.0,2160.0,5454.56108597285,27687.0,0.10407239819004525,1200.0,23,1350.0,filtered_outliers,1296.0,06H906036Q
113,680.0,3000.0,2000.0,3716.451327433628,26370.0,0.12389380530973451,1200.0,14,1350.0,filtered_outliers,1200.0,7P0121407B
112,800.0,2820.0,2190.0,9186.839285714286,230000.0,0.03571428571428571,1128.0,4,1350.0,filtered_outliers,1314.0,A0009059704
89,660.0,4500.0,1960.0,6645.865168539326,70200.0,0.2247191011235955,1800.0,20,1374.0,filtered_outliers,1176.0,A2114230912
29,600.0,3760.0,2195.0,5909.931034482759,14000.0,0.1724137931034483,1504.0,5,1389.0,filtered_outliers,1317.0,GHY93328Z
209,418.0,3000.0,2000.0,4693.382775119617,28200.0,0.05741626794258373,1200.0,12,1394.0,filtered_outliers,1200.0,A0009061505
75,681.0,5000.0,2203.5,9254.52,34363.0,0.24,2000.0,18,1400.0,filtered_outliers,1322.1,A1664700490
46,500.0,3515.0,2025.0,5118.065217391304,19620.0,0.15217391304347827,1406.0,7,1402.0,filtered_outliers,1215.0,06E121018D
38,504.0,4109.5,1902.75,6125.5,16670.0,0.23684210526315788,1643.8000000000002,9,1425.0,filtered_outliers,1141.6499999999999,A1663201200
131,522.0,3000.0,2170.0,5729.12213740458,34209.0,0.13740458015267176,1200.0,18,1425.0,filtered_outliers,1302.0,7L8199131F
136,510.0,3000.0,2343.75,5402.286764705882,68610.0,0.007352941176470588,1200.0,1,1482.0,filtered_outliers,1406.25,A0065421718
68,900.0,3220.0,2154.75,4127.632352941177,11718.0,0.058823529411764705,1288.0,4,1495.0,filtered_outliers,1292.85,A007420102041
172,599.0,3498.0,2229.5,4130.7558139534885,13400.0,0.040697674418604654,1399.2,7,1499.0,filtered_outliers,1337.7,06L109259D
82,930.0,3930.0,2500.0,5444.621951219512,19685.0,0.07317073170731707,1572.0,6,1500.0,filtered_outliers,1500.0,06K103269F
127,990.0,4700.0,2150.0,6866.133858267716,37000.0,0.07874015748031496,1880.0,10,1500.0,filtered_outliers,1290.0,5658070619B9
24,900.0,2381.0,1567.25,4129.333333333333,12500.0,0.041666666666666664,952.4000000000001,1,1500.0,filtered_outliers,940.3499999999999,06K906262D
91,920.0,5000.0,2400.0,7444.076923076923,38000.0,0.16483516483516483,2000.0,15,1500.0,filtered_outliers,1440.0,A2123204630
76,450.0,3000.0,2403.5,4566.315789473684,16000.0,0.10526315789473684,1200.0,8,1500.0,filtered_outliers,1442.1,LR092039
103,750.0,5500.0,2550.0,6791.766990291262,35000.0,0.24271844660194175,2200.0,25,1549.0,filtered_outliers,1530.0,03C105209AQ
85,800.0,5000.0,2500.0,8289.411764705883,40000.0,0.09411764705882353,2000.0,8,1552.0,filtered_outliers,1500.0,A0999064601
172,275.0,5202.0,2534.5,10074.46511627907,150000.0,0.20930232558139536,2080.8,36,1560.0,filtered_outliers,1520.7,A2760500278
106,430.0,5000.0,2550.0,7376.830188679245,47034.0,0.16981132075471697,2000.0,18,1600.0,filtered_outliers,1530.0,3C0411303T
176,440.0,5005.5,2622.5,5874.727272727273,33600.0,0.125,2002.2,22,1614.0,filtered_outliers,1573.5,A2513300807
30,702.0,4222.0,2490.75,5748.066666666667,23951.0,0.16666666666666666,1688.8000000000002,5,1635.0,filtered_outliers,1494.45,TDR000120
136,600.0,4000.0,2550.0,6617.27205882353,58680.0,0.11764705882352941,1600.0,16,1657.0,filtered_outliers,1530.0,LR071914
121,675.0,4200.0,2750.0,6067.628099173554,23000.0,0.04132231404958678,1680.0,5,1700.0,filtered_outliers,1650.0,7H0819021A
46,599.0,3510.0,2370.25,6649.04347826087,27650.0,0.1956521739130435,1404.0,9,1730.0,filtered_outliers,1422.1499999999999,A1643300385
61,475.0,4644.0,2710.0,6935.868852459016,19500.0,0.11475409836065574,1857.6000000000001,7,1755.0,filtered_outliers,1626.0,8K0698151P
55,500.0,4690.0,2792.5,6719.890909090909,21864.0,0.10909090909090909,1876.0,6,1766.0,filtered_outliers,1675.5,7P6698451C
138,604.0,4909.0,2920.0,46831.1231884058,831600.0,0.12318840579710146,1963.6000000000001,17,1772.0,filtered_outliers,1752.0,A0004205900
118,836.0,4097.0,2417.5,5679.940677966101,27885.0,0.01694915254237288,1638.8000000000002,2,1772.0,filtered_outliers,1450.5,11537509227
116,520.0,4473.0,2941.25,10900.620689655172,77800.0,0.10344827586206896,1789.2,12,1791.0,filtered_outliers,1764.75,7L0407021B
83,681.0,4800.0,2850.0,5615.674698795181,15598.0,0.08433734939759036,1920.0,7,1800.0,filtered_outliers,1710.0,A0091535028
171,599.0,5400.0,3000.0,7362.187134502924,35805.0,0.15204678362573099,2160.0,26,1800.0,filtered_outliers,1800.0,A2043260200
75,10.0,4500.0,2797.0,5213.453333333333,22000.0,0.09333333333333334,1800.0,7,1800.0,filtered_outliers,1678.2,A0074206720
187,800.0,3953.0,2610.0,9011.080213903744,110000.0,0.0213903743315508,1581.2,4,1800.0,filtered_outliers,1566.0,4M0407505B
170,500.0,5250.0,3000.0,8812.552941176471,40000.0,0.11176470588235295,2100.0,19,1800.0,filtered_outliers,1800.0,06H145710D
135,850.0,4000.0,3000.0,7726.059259259259,36000.0,0.037037037037037035,1600.0,5,1800.0,filtered_outliers,1800.0,4H0898037
93,279.0,4000.0,3000.0,5970.989247311828,21530.0,0.053763440860215055,1600.0,5,1803.0,filtered_outliers,1800.0,06E115243H
45,391.0,4091.0,2831.0,6028.733333333334,23137.0,0.044444444444444446,1636.4,2,1811.0,filtered_outliers,1698.6,A000423101207
74,890.0,4490.0,2875.0,6109.3378378378375,27500.0,0.0945945945945946,1796.0,7,1847.0,filtered_outliers,1725.0,A2463772400
189,350.0,3500.0,3000.0,4752.068783068783,31840.0,0.010582010582010581,1400.0,2,1870.0,filtered_outliers,1800.0,7P0616213
110,604.0,5510.5,3010.0,6043.418181818181,25184.0,0.23636363636363636,2204.2000000000003,26,1880.0,filtered_outliers,1806.0,43202JG21A
64,100.0,5063.5,3045.75,7015.40625,28000.0,0.15625,2025.4,10,1889.0,filtered_outliers,1827.45,A0084201820
84,950.0,5005.0,3112.5,8314.904761904761,37080.0,0.10714285714285714,2002.0,9,1900.0,filtered_outliers,1867.5,A2722000515
23,900.0,6560.0,2980.0,7378.0,18000.0,0.17391304347826086,2624.0,4,1900.0,filtered_outliers,1788.0,06K103495T
75,451.0,3600.0,2250.0,5799.32,21000.0,0.12,1440.0,9,1900.0,filtered_outliers,1350.0,7L0698451H
66,630.0,4247.0,2920.75,27548.909090909092,831600.0,0.15151515151515152,1698.8000000000002,10,1900.0,filtered_outliers,1752.45,3Q0698451J
31,770.0,3858.0,2430.0,6186.741935483871,16100.0,0.03225806451612903,1543.2,1,1900.0,filtered_outliers,1458.0,5Q0698151
31,10.0,5227.0,2500.0,7703.8387096774195,19734.0,0.1935483870967742,2090.8,6,1900.0,filtered_outliers,1500.0,A2710300963
81,360.0,4850.0,2977.0,5564.358024691358,25800.0,0.08641975308641975,1940.0,7,1918.0,filtered_outliers,1786.2,A0084201720
160,880.0,3500.0,3000.0,5652.14375,32448.0,0.00625,1400.0,1,1931.0,filtered_outliers,1800.0,7L0837461F
48,540.0,5000.0,3182.5,11287.020833333334,250000.0,0.22916666666666666,2000.0,11,1984.0,filtered_outliers,1909.5,760853597AIDJ
124,960.0,6900.0,3110.0,109828.14516129032,12000000.0,0.14516129032258066,2760.0,18,1990.0,filtered_outliers,1866.0,A6512007701
126,783.0,4029.0,3200.0,6447.476190476191,45100.0,0.03968253968253968,1611.6000000000001,5,2000.0,filtered_outliers,1920.0,8K0615301
216,660.0,5600.0,3000.0,6639.268518518518,34070.0,0.08796296296296297,2240.0,19,2000.0,filtered_outliers,1800.0,RVH000055
62,820.0,4844.0,3050.0,6538.967741935484,16230.0,0.11290322580645161,1937.6000000000001,7,2000.0,filtered_outliers,1830.0,LR059264
75,773.0,4970.0,3000.0,7486.346666666666,30790.0,0.10666666666666667,1988.0,8,2000.0,filtered_outliers,1800.0,A0004203105
41,100.0,5500.0,2790.0,11117.024390243903,141300.0,0.1951219512195122,2200.0,8,2000.0,filtered_outliers,1674.0,03L103171A
36,900.0,5000.0,3000.0,7886.694444444444,31360.0,0.1388888888888889,2000.0,5,2000.0,filtered_outliers,1800.0,LR181676
60,800.0,3601.0,2000.0,4855.033333333334,15491.0,0.2,1440.4,12,2000.0,filtered_outliers,1200.0,A1665010265
116,913.0,4975.0,3318.75,6133.551724137931,35200.0,0.11206896551724138,1990.0,13,2030.0,filtered_outliers,1991.25,A0064204120
54,919.0,4986.5,3132.75,5915.388888888889,17903.0,0.05555555555555555,1994.6000000000001,3,2034.0,filtered_outliers,1879.6499999999999,A0044204020
111,595.0,5098.0,3104.5,6517.396396396396,40500.0,0.13513513513513514,2039.2,15,2090.0,filtered_outliers,1862.6999999999998,0B5325429E
45,810.0,4860.0,3150.0,7772.511111111111,27209.0,0.044444444444444446,1944.0,2,2120.0,filtered_outliers,1890.0,A1678850406
106,325.0,5198.5,3321.0,13801.471698113208,88404.0,0.08490566037735849,2079.4,9,2132.0,filtered_outliers,1992.6,03N115389A
54,810.0,6392.0,3042.5,11887.037037037036,150000.0,0.2222222222222222,2556.8,12,2143.0,filtered_outliers,1825.5,4M0423812D
224,680.0,4000.0,3543.0,5407.370535714285,41760.0,0.013392857142857142,1600.0,3,2150.0,filtered_outliers,2125.7999999999997,28373FG000
94,836.0,5362.5,3600.0,8161.989361702128,49724.0,0.031914893617021274,2145.0,3,2160.0,filtered_outliers,2160.0,5N0919087H
103,810.0,5700.0,3372.5,12980.883495145632,83665.0,0.08737864077669903,2280.0,9,2240.0,filtered_outliers,2023.5,LR015463
59,875.0,6000.0,3715.0,7010.966101694915,24300.0,0.13559322033898305,2400.0,8,2279.0,filtered_outliers,2229.0,A0004209403
113,354.0,5720.0,3799.0,7082.0,28650.0,0.035398230088495575,2288.0,4,2299.0,filtered_outliers,2279.4,7L8407021
167,450.0,8000.0,3780.0,10750.766467065869,47400.0,0.20958083832335328,3200.0,35,2300.0,filtered_outliers,2268.0,06H107065DM
34,760.0,4225.0,3500.0,6339.205882352941,24280.0,0.029411764705882353,1690.0,1,2375.0,filtered_outliers,2100.0,A1678804000
88,800.0,6144.5,3866.75,9229.96590909091,36900.0,0.11363636363636363,2457.8,10,2400.0,filtered_outliers,2320.0499999999997,LR066429
94,900.0,5750.0,4000.0,7494.840425531915,23750.0,0.05319148936170213,2300.0,5,2429.0,filtered_outliers,2400.0,A0997503500
166,626.0,7950.0,4011.75,27673.295180722893,265900.0,0.10843373493975904,3180.0,18,2430.0,filtered_outliers,2407.0499999999997,5Q0413023FH
104,900.0,5729.5,3995.0,7875.375,25100.0,0.11538461538461539,2291.8,12,2486.0,filtered_outliers,2397.0,A0004209603
